# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.totalMisses,1788084266671000000,1788084326681000000,768
VFS.invertedFileNameIndex.requests,1788084266671000000,1788084326681000000,1
VFS.fileByIdCache.misses,1788084266671000000,1788084326681000000,23
VFS.fileByIdCache.hits,1788084266671000000,1788084326681000000,0
FileNameCache.queries,1788084266671000000,1788084326681000000,53760
VFS.fileChildByName,1788084266671000000,1788084326681000000,1323
compiler.ArtifactManagerBridge.findArtifact.ms,1788084266671000000,1788084326681000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1788084266671000000,1788084326681000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1788084266671000000,1788084326681000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1788084266671000000,1788084326681000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1788084266671000000,1788084326681000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1788084266671000000,1788084326681000000,1
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1788084266671000000,1788084326681000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1788084266671000000,1788084326681000000,1
compiler.ArtifactManagerBridge.commit.ms,1788084266671000000,1788084326681000000,0
cacheStateStorage.set.counter,1788084266671000000,1788084326681000000,5
cacheStateStorage.get.duration,1788084266671000000,1788084326681000000,210
cacheStateStorage.set.duration,1788084266671000000,1788084326681000000,11
cacheStateStorage.get.counter,1788084266671000000,1788084326681000000,24
AWTEventQueue.dispatchTimeTotalNS,1788084266671000000,1788084326681000000,11121088931
AWTEventQueue.dispatchTime90PNs,1788084266671000000,1788084326681000000,1867775
NonBlockingReadAction.failedExecutionTimeUs,1788084266671000000,1788084326681000000,37218
FlushQueue.tasksExecuted,1788084266671000000,1788084326681000000,2675
NonBlockingReadAction.finalizedExecutionsCount,1788084266671000000,1788084326681000000,23
AWTEventQueue.dispatchTimeAvgNs,1788084266671000000,1788084326681000000,1654856.8351451973
FlushQueue.executionTimeAvgNs,1788084266671000000,1788084326681000000,1416824.1839252335
FlushQueue.executionTime90PNs,1788084266671000000,1788084326681000000,2441215
FlushQueue.waitingTimeMaxNs,1788084266671000000,1788084326681000000,1426063359
FlushQueue.executionTimeMaxNs,1788084266671000000,1788084326681000000,734003199
FlushQueue.waitingTime90PNs,1788084266671000000,1788084326681000000,306184191
NonBlockingReadAction.failedExecutionsCount,1788084266671000000,1788084326681000000,1
ReadAction.executionsCount,1788084266671000000,1788084326681000000,8009
FlushQueue.queueSizeAvg,1788084266671000000,1788084326681000000,20.560747663551403
AWTEventQueue.dispatchTimeMaxNs,1788084266671000000,1788084326681000000,738197503
NonBlockingReadAction.finalizedExecutionTimeUs,1788084266671000000,1788084326681000000,494863
AWTEventQueue.eventsDispatched,1788084266671000000,1788084326681000000,6715
FlushQueue.queueSize90P,1788084266671000000,1788084326681000000,70
WriteAction.executionsCount,1788084266671000000,1788084326681000000,13
FlushQueue.queueSizeMax,1788084266671000000,1788084326681000000,130
FlushQueue.waitingTimeAvgNs,1788084266671000000,1788084326681000000,9.061473228560747E7
JVM.totalCpuTimeMs,1788084266671000000,1788084326681000000,61825
JVM.newThreadsCount,1788084266671000000,1788084326681000000,146
JVM.totalBytesAllocated,1788084266671000000,1788084326681000000,1643833000
OS.loadAverage,1788084266671000000,1788084326681000000,3.09326171875
JVM.maxThreadCount,1788084266671000000,1788084326681000000,143
JVM.usedNativeBytes,1788084266671000000,1788084326681000000,286344776
JVM.maxHeapBytes,1788084266671000000,1788084326681000000,2147483648
JVM.GC.collections,1788084266671000000,1788084326681000000,23
JVM.GC.collectionTimesMs,1788084266671000000,1788084326681000000,153
JVM.threadCount,1788084266671000000,1788084326681000000,143
JVM.totalDirectByteBuffersBytes,1788084266671000000,1788084326681000000,221597878
JVM.usedHeapBytes,1788084266671000000,1788084326681000000,269678464
workspaceModel.moduleManagerBridge.load.module.ms,1788084266671000000,1788084326681000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1788084266671000000,1788084326681000000,5
jps.storage.jps.conf.reader.load.component.ms,1788084266671000000,1788084326681000000,7
workspaceModel.moduleManagerBridge.load.all.modules.ms,1788084266671000000,1788084326681000000,131
jps.global.handle.changed.events.ms,1788084266671000000,1788084326681000000,0
workspaceModel.load.cache.from.file.ms,1788084266671000000,1788084326681000000,196
workspaceModel.sync.entities.ms,1788084266671000000,1788084326681000000,0
jps.artifact.entities.serializer.load.entities.ms,1788084266671000000,1788084326681000000,0
workspaceModel.mutableEntityStorage.instances.count,1788084266671000000,1788084326681000000,21
workspaceModel.mutableEntityStorage.put.entity.ms,1788084266671000000,1788084326681000000,2
workspaceModel.global.updates.ms,1788084266671000000,1788084326681000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1788084266671000000,1788084326681000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1788084266671000000,1788084326681000000,0
workspaceModel.global.apply.state.to.project.ms,1788084266671000000,1788084326681000000,47
jps.save.global.entities.ms,1788084266671000000,1788084326681000000,0
jps.load.project.to.empty.storage.ms,1788084266671000000,1788084326681000000,56
workspaceModel.mutableEntityStorage.referrers.ms,1788084266671000000,1788084326681000000,0
workspaceModel.orphan.listener.update.ms,1788084266671000000,1788084326681000000,2
jps.apply.loaded.storage.ms,1788084266671000000,1788084326681000000,15
jps.library.entities.serializer.save.entities.ms,1788084266671000000,1788084326681000000,0
jps.global.get.library.ms,1788084266671000000,1788084326681000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1788084266671000000,1788084326681000000,12
workspaceModel.mutableEntityStorage.entities.ms,1788084266671000000,1788084326681000000,1
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1788084266671000000,1788084326681000000,6
workspaceModel.mutableEntityStorage.modify.entity.ms,1788084266671000000,1788084326681000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1788084266671000000,1788084326681000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1788084266671000000,1788084326681000000,596
workspaceModel.moduleManagerBridge.build.module.graph.ms,1788084266671000000,1788084326681000000,2
jps.module.iml.entities.serializer.load.entities.ms,1788084266671000000,1788084326681000000,14
workspaceModel.global.updates.count,1788084266671000000,1788084326681000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1788084266671000000,1788084326681000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1788084266671000000,1788084326681000000,9
jps.project.serializers.save.ms,1788084266671000000,1788084326681000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1788084266671000000,1788084326681000000,74
jps.facet.change.listener.process.change.events.ms,1788084266671000000,1788084326681000000,1
jps.reload.project.entities.ms,1788084266671000000,1788084326681000000,0
jps.library.entities.serializer.load.entities.ms,1788084266671000000,1788084326681000000,1
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1788084266671000000,1788084326681000000,0
workspaceModel.moduleBridge.before.changed.ms,1788084266671000000,1788084326681000000,0
jps.facet.change.listener.init.bridge.ms,1788084266671000000,1788084326681000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1788084266671000000,1788084326681000000,1
jps.global.get.libraries.ms,1788084266671000000,1788084326681000000,0
jps.app.storage.content.reader.load.component.ms,1788084266671000000,1788084326681000000,1
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1788084266671000000,1788084326681000000,2
jps.global.handle.before.change.events.ms,1788084266671000000,1788084326681000000,0
workspaceModel.moduleBridge.update.option.ms,1788084266671000000,1788084326681000000,0
workspaceModel.load.cache.metadata.from.file.ms,1788084266671000000,1788084326681000000,25
jps.project.serializers.load.ms,1788084266671000000,1788084326681000000,28
workspaceModel.save.cache.to.file.ms,1788084266671000000,1788084326681000000,75
workspaceModel.moduleManagerBridge.create.module.instance.ms,1788084266671000000,1788084326681000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1788084266671000000,1788084326681000000,0
jps.global.initialize.library.bridges.ms,1788084266671000000,1788084326681000000,1
workspaceModel.do.save.caches.ms,1788084266671000000,1788084326681000000,97
workspaceModel.mutableEntityStorage.resolve.ms,1788084266671000000,1788084326681000000,0
jps.module.iml.entities.serializer.save.entities.ms,1788084266671000000,1788084326681000000,0
jps.global.initialize.library.bridges.after.loading.ms,1788084266671000000,1788084326681000000,1
