# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalPagesRequested,1788965554653000000,1788965614668000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1788965554653000000,1788965614668000000,0
FilePageCacheLockFree.totalPagesReadMs,1788965554653000000,1788965614668000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1788965554653000000,1788965614668000000,20887
StreamlinedBlobStorage.recordsAllocated,1788965554653000000,1788965614668000000,2665
FilePageCacheLockFree.totalHeapBytesReclaimed,1788965554653000000,1788965614668000000,0
FilePageCacheLockFree.totalPagesWriteMs,1788965554653000000,1788965614668000000,0
FilePageCache.disposedBuffers,1788965554653000000,1788965614668000000,3
FilePageCacheLockFree.totalBytesRequested,1788965554653000000,1788965614668000000,0
MappedFileStorage.totalBytesMapped,1788965554653000000,1788965614668000000,198443008
StreamlinedBlobStorage.recordsDeleted,1788965554653000000,1788965614668000000,19
MappedFileStorage.storages,1788965554653000000,1788965614668000000,15
StorageLockContext.competingThreads.max,1788965554653000000,1788965614668000000,15
FilePageCacheLockFree.totalPagesReclaimed,1788965554653000000,1788965614668000000,0
FilePageCacheLockFree.heapBytesInUse,1788965554653000000,1788965614668000000,0
FilePageCacheLockFree.totalPagesWritten,1788965554653000000,1788965614668000000,0
FilePageCacheLockFree.nativeBytesInUse,1788965554653000000,1788965614668000000,0
FilePageCache.capacityInBytes,1788965554653000000,1788965614668000000,503316478
FilePageCache.totalPageLoadsUs,1788965554653000000,1788965614668000000,324127
FilePageCache.uncachedFileAccess,1788965554653000000,1788965614668000000,120
StorageLockContext.competingThreads.90P,1788965554653000000,1788965614668000000,0
FilePageCache.totalPageDisposalsUs,1788965554653000000,1788965614668000000,2242
FilePageCache.pageFastCacheHits,1788965554653000000,1788965614668000000,4420
FilePageCacheLockFree.totalBytesRead,1788965554653000000,1788965614668000000,0
StorageLockContext.competingThreads.avg,1788965554653000000,1788965614668000000,0.1271186440677966
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1788965554653000000,1788965614668000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1788965554653000000,1788965614668000000,0
StreamlinedBlobStorage.recordsRelocated,1788965554653000000,1788965614668000000,0
DirectByteBufferAllocator.misses,1788965554653000000,1788965614668000000,225
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1788965554653000000,1788965614668000000,69851
FileChannelInterruptsRetryer.totalRetriedAttempts,1788965554653000000,1788965614668000000,0
FilePageCache.pageLoads,1788965554653000000,1788965614668000000,228
FilePageCacheLockFree.housekeeperTurnsDone,1788965554653000000,1788965614668000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1788965554653000000,1788965614668000000,0
FilePageCache.maxRegisteredFiles,1788965554653000000,1788965614668000000,555
FilePageCacheLockFree.totalNativeBytesReclaimed,1788965554653000000,1788965614668000000,0
