# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.totalBytesAllocated,1788133878252000000,1788133938262000000,1528677680
JVM.usedHeapBytes,1788133878252000000,1788133938262000000,422883488
JVM.threadCount,1788133878252000000,1788133938262000000,159
JVM.totalDirectByteBuffersBytes,1788133878252000000,1788133938262000000,236099254
JVM.newThreadsCount,1788133878252000000,1788133938262000000,181
JVM.maxHeapBytes,1788133878252000000,1788133938262000000,2147483648
JVM.GC.collectionTimesMs,1788133878252000000,1788133938262000000,175
JVM.GC.collections,1788133878252000000,1788133938262000000,20
JVM.totalCpuTimeMs,1788133878252000000,1788133938262000000,70637
JVM.maxThreadCount,1788133878252000000,1788133938262000000,163
JVM.usedNativeBytes,1788133878252000000,1788133938262000000,293602288
OS.loadAverage,1788133878252000000,1788133938262000000,2.92919921875
writeAction.count,1788133878252000000,1788133938262000000,7
writeAction.wait.ms,1788133878252000000,1788133938262000000,1
writeAction.max.wait.ms,1788133878252000000,1788133938262000000,1
writeAction.median.wait.ms,1788133878252000000,1788133938262000000,0
workspaceModel.updates.ms,1788133878252000000,1788133938262000000,49
workspaceModel.collect.changes.ms,1788133878252000000,1788133938262000000,0
workspaceModel.init.bridges.ms,1788133878252000000,1788133938262000000,2
workspaceModel.entityStorageSnapshotImpl.instances.count,1788133878252000000,1788133938262000000,14
workspaceModel.updates.precise.ms,1788133878252000000,1788133938262000000,10
workspaceModel.workspaceFileIndexData.init.ms,1788133878252000000,1788133938262000000,35
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1788133878252000000,1788133938262000000,0
workspaceModel.workspaceFileIndexData.instances.count,1788133878252000000,1788133938262000000,1
workspaceModel.cachedValue.clear.ms,1788133878252000000,1788133938262000000,0
workspaceModel.cachedValue.calculated.ms,1788133878252000000,1788133938262000000,13
workspaceModel.workspaceFileIndexData.markDirty.ms,1788133878252000000,1788133938262000000,0
workspaceModel.full.replace.project.model.ms,1788133878252000000,1788133938262000000,6
workspaceModel.cachedValueWithParameters.clear.ms,1788133878252000000,1788133938262000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1788133878252000000,1788133938262000000,0
workspaceModel.cachedValueWithParameters.from.cache.ms,1788133878252000000,1788133938262000000,0
workspaceModel.update.unloaded.entities.ms,1788133878252000000,1788133938262000000,0
workspaceModel.updates.count,1788133878252000000,1788133938262000000,2
workspaceModel.loading.total.ms,1788133878252000000,1788133938262000000,199
workspaceModel.check.recursive.update.ms,1788133878252000000,1788133938262000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1788133878252000000,1788133938262000000,2
workspaceModel.cachedValue.from.cache.ms,1788133878252000000,1788133938262000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1788133878252000000,1788133938262000000,65
workspaceModel.workspaceFileIndexData.processFileSets.ms,1788133878252000000,1788133938262000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1788133878252000000,1788133938262000000,0
workspaceModel.cachedValueWithParameters.calculated.ms,1788133878252000000,1788133938262000000,0
workspaceModel.replace.project.model.ms,1788133878252000000,1788133938262000000,0
workspaceModel.cachedValueWithParameters.total.get.ms,1788133878252000000,1788133938262000000,0
workspaceModel.cachedValue.total.get.ms,1788133878252000000,1788133938262000000,13
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1788133878252000000,1788133938262000000,73
workspaceModel.loading.from.cache.ms,1788133878252000000,1788133938262000000,187
workspaceModel.pre.handlers.ms,1788133878252000000,1788133938262000000,0
workspaceModel.to.snapshot.ms,1788133878252000000,1788133938262000000,0
