# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.count,1788305020758000000,1788305080768000000,7
writeAction.median.wait.ms,1788305020758000000,1788305080768000000,0
writeAction.max.wait.ms,1788305020758000000,1788305080768000000,6
writeAction.wait.ms,1788305020758000000,1788305080768000000,12
AWTEventQueue.dispatchTime90PNs,1788305020758000000,1788305080768000000,12648447
FlushQueue.executionTimeAvgNs,1788305020758000000,1788305080768000000,2640143.614358974
AWTEventQueue.dispatchTimeTotalNS,1788305020758000000,1788305080768000000,4344797757
FlushQueue.waitingTime90PNs,1788305020758000000,1788305080768000000,515899391
AWTEventQueue.dispatchTimeAvgNs,1788305020758000000,1788305080768000000,7131122.968801314
FlushQueue.queueSizeAvg,1788305020758000000,1788305080768000000,29.526153846153846
ReadAction.executionsCount,1788305020758000000,1788305080768000000,6145
FlushQueue.queueSizeMax,1788305020758000000,1788305080768000000,82
NonBlockingReadAction.failedExecutionsCount,1788305020758000000,1788305080768000000,0
AWTEventQueue.eventsDispatched,1788305020758000000,1788305080768000000,609
NonBlockingReadAction.finalizedExecutionTimeUs,1788305020758000000,1788305080768000000,374621
FlushQueue.queueSize90P,1788305020758000000,1788305080768000000,67
FlushQueue.waitingTimeAvgNs,1788305020758000000,1788305080768000000,1.705799142728205E8
NonBlockingReadAction.failedExecutionTimeUs,1788305020758000000,1788305080768000000,0
AWTEventQueue.dispatchTimeMaxNs,1788305020758000000,1788305080768000000,440401919
NonBlockingReadAction.finalizedExecutionsCount,1788305020758000000,1788305080768000000,17
WriteAction.executionsCount,1788305020758000000,1788305080768000000,7
FlushQueue.executionTime90PNs,1788305020758000000,1788305080768000000,1327103
FlushQueue.tasksExecuted,1788305020758000000,1788305080768000000,975
FlushQueue.waitingTimeMaxNs,1788305020758000000,1788305080768000000,1082130431
FlushQueue.executionTimeMaxNs,1788305020758000000,1788305080768000000,440401919
workspaceModel.global.updates.count,1788305020758000000,1788305080768000000,0
jps.library.entities.serializer.load.entities.ms,1788305020758000000,1788305080768000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1788305020758000000,1788305080768000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1788305020758000000,1788305080768000000,0
workspaceModel.orphan.listener.update.ms,1788305020758000000,1788305080768000000,2
workspaceModel.mutableEntityStorage.put.entity.ms,1788305020758000000,1788305080768000000,3
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1788305020758000000,1788305080768000000,0
jps.app.storage.content.reader.load.component.ms,1788305020758000000,1788305080768000000,1
workspaceModel.moduleManagerBridge.load.module.ms,1788305020758000000,1788305080768000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1788305020758000000,1788305080768000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1788305020758000000,1788305080768000000,7
workspaceModel.do.save.caches.ms,1788305020758000000,1788305080768000000,39
workspaceModel.mutableEntityStorage.entities.by.source.ms,1788305020758000000,1788305080768000000,1
jps.load.initial.state.ms,1788305020758000000,1788305080768000000,33
jps.module.iml.entities.serializer.save.entities.ms,1788305020758000000,1788305080768000000,0
workspaceModel.mutableEntityStorage.instances.count,1788305020758000000,1788305080768000000,21
jps.artifact.entities.serializer.save.entities.ms,1788305020758000000,1788305080768000000,0
workspaceModel.moduleBridge.update.option.ms,1788305020758000000,1788305080768000000,0
jps.global.handle.before.change.events.ms,1788305020758000000,1788305080768000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1788305020758000000,1788305080768000000,74
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1788305020758000000,1788305080768000000,0
jps.facet.change.listener.init.bridge.ms,1788305020758000000,1788305080768000000,0
jps.project.serializers.load.ms,1788305020758000000,1788305080768000000,29
jps.global.initialize.library.bridges.after.loading.ms,1788305020758000000,1788305080768000000,2
jps.reload.project.entities.ms,1788305020758000000,1788305080768000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1788305020758000000,1788305080768000000,0
jps.save.changed.project.entities.ms,1788305020758000000,1788305080768000000,0
workspaceModel.global.apply.state.to.project.ms,1788305020758000000,1788305080768000000,41
jps.facet.change.listener.before.change.events.ms,1788305020758000000,1788305080768000000,0
jps.global.get.libraries.ms,1788305020758000000,1788305080768000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1788305020758000000,1788305080768000000,532
workspaceModel.mutableEntityStorage.has.same.entities.ms,1788305020758000000,1788305080768000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1788305020758000000,1788305080768000000,8
jps.global.initialize.library.bridges.ms,1788305020758000000,1788305080768000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1788305020758000000,1788305080768000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1788305020758000000,1788305080768000000,0
jps.facet.change.listener.process.change.events.ms,1788305020758000000,1788305080768000000,1
workspaceModel.load.cache.from.file.ms,1788305020758000000,1788305080768000000,171
workspaceModel.sync.entities.ms,1788305020758000000,1788305080768000000,0
jps.library.entities.serializer.save.entities.ms,1788305020758000000,1788305080768000000,0
jps.global.handle.changed.events.ms,1788305020758000000,1788305080768000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1788305020758000000,1788305080768000000,144
jps.apply.loaded.storage.ms,1788305020758000000,1788305080768000000,15
jps.module.iml.entities.serializer.load.entities.ms,1788305020758000000,1788305080768000000,14
jps.save.global.entities.ms,1788305020758000000,1788305080768000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1788305020758000000,1788305080768000000,4
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1788305020758000000,1788305080768000000,7
jps.project.serializers.save.ms,1788305020758000000,1788305080768000000,0
