# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.invertedFileNameIndex.requests,1789048539166000000,1789048599207000000,0
VFS.fileByIdCache.misses,1789048539166000000,1789048599207000000,22
FileNameCache.queries,1789048539166000000,1789048599207000000,0
VFS.fileByIdCache.hits,1789048539166000000,1789048599207000000,1
VFS.fileChildByName,1789048539166000000,1789048599207000000,1095
FileNameCache.totalMisses,1789048539166000000,1789048599207000000,0
cacheStateStorage.set.counter,1789048539166000000,1789048599207000000,5
cacheStateStorage.get.counter,1789048539166000000,1789048599207000000,24
cacheStateStorage.get.duration,1789048539166000000,1789048599207000000,301
cacheStateStorage.set.duration,1789048539166000000,1789048599207000000,8
FlushQueue.queueSizeAvg,1789048539166000000,1789048599207000000,0.0
WriteAction.executionsCount,1789048539166000000,1789048599207000000,13
FlushQueue.queueSize90P,1789048539166000000,1789048599207000000,0
FlushQueue.waitingTimeMaxNs,1789048539166000000,1789048599207000000,0
AWTEventQueue.dispatchTimeTotalNS,1789048539166000000,1789048599207000000,8497567048
ReadAction.executionsCount,1789048539166000000,1789048599207000000,19752
NonBlockingReadAction.finalizedExecutionsCount,1789048539166000000,1789048599207000000,24
NonBlockingReadAction.failedExecutionsCount,1789048539166000000,1789048599207000000,0
AWTEventQueue.dispatchTime90PNs,1789048539166000000,1789048599207000000,970751
FlushQueue.waitingTime90PNs,1789048539166000000,1789048599207000000,0
FlushQueue.tasksExecuted,1789048539166000000,1789048599207000000,0
FlushQueue.executionTimeMaxNs,1789048539166000000,1789048599207000000,0
FlushQueue.executionTimeAvgNs,1789048539166000000,1789048599207000000,0.0
NonBlockingReadAction.failedExecutionTimeUs,1789048539166000000,1789048599207000000,0
AWTEventQueue.dispatchTimeMaxNs,1789048539166000000,1789048599207000000,970751
AWTEventQueue.eventsDispatched,1789048539166000000,1789048599207000000,2
FlushQueue.queueSizeMax,1789048539166000000,1789048599207000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1789048539166000000,1789048599207000000,392176
AWTEventQueue.dispatchTimeAvgNs,1789048539166000000,1789048599207000000,515264.0
FlushQueue.executionTime90PNs,1789048539166000000,1789048599207000000,0
FlushQueue.waitingTimeAvgNs,1789048539166000000,1789048599207000000,0.0
StorageLockContext.competingThreads.90P,1789048539166000000,1789048599207000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1789048539166000000,1789048599207000000,0
FilePageCacheLockFree.totalBytesRead,1789048539166000000,1789048599207000000,0
MappedFileStorage.totalBytesMapped,1789048539166000000,1789048599207000000,198443008
FilePageCacheLockFree.totalPagesReclaimed,1789048539166000000,1789048599207000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1789048539166000000,1789048599207000000,0
FilePageCache.pageHits,1789048539166000000,1789048599207000000,0
FilePageCache.capacityInBytes,1789048539166000000,1789048599207000000,503316478
FilePageCacheLockFree.totalPagesAllocated,1789048539166000000,1789048599207000000,0
DirectByteBufferAllocator.misses,1789048539166000000,1789048599207000000,233
MappedFileStorage.totalPagesMapped,1789048539166000000,1789048599207000000,15
FilePageCacheLockFree.totalPagesWriteMs,1789048539166000000,1789048599207000000,0
StreamlinedBlobStorage.recordsRelocated,1789048539166000000,1789048599207000000,0
FilePageCacheLockFree.totalBytesWritten,1789048539166000000,1789048599207000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1789048539166000000,1789048599207000000,0
FilePageCache.totalPageLoadsUs,1789048539166000000,1789048599207000000,346386
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1789048539166000000,1789048599207000000,0
FilePageCacheLockFree.totalPagesRequested,1789048539166000000,1789048599207000000,0
FilePageCache.pageLoads,1789048539166000000,1789048599207000000,236
FilePageCacheLockFree.totalClosedStoragesReclaimed,1789048539166000000,1789048599207000000,0
FilePageCache.totalPageDisposalsUs,1789048539166000000,1789048599207000000,2177
DirectByteBufferAllocator.hits,1789048539166000000,1789048599207000000,3
FilePageCacheLockFree.nativeBytesInUse,1789048539166000000,1789048599207000000,0
DirectByteBufferAllocator.reclaimed,1789048539166000000,1789048599207000000,3
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1789048539166000000,1789048599207000000,69853
DirectByteBufferAllocator.disposed,1789048539166000000,1789048599207000000,0
StreamlinedBlobStorage.recordsDeleted,1789048539166000000,1789048599207000000,19
FilePageCacheLockFree.totalPagesReadMs,1789048539166000000,1789048599207000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1789048539166000000,1789048599207000000,0
FilePageCache.pageFastCacheHits,1789048539166000000,1789048599207000000,5894
FilePageCacheLockFree.totalNativeBytesAllocated,1789048539166000000,1789048599207000000,0
FilePageCacheLockFree.totalPagesHandedOver,1789048539166000000,1789048599207000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1789048539166000000,1789048599207000000,213058
FileChannelInterruptsRetryer.totalRetriedAttempts,1789048539166000000,1789048599207000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1789048539166000000,1789048599207000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1789048539166000000,1789048599207000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1789048539166000000,1789048599207000000,0
FilePageCache.uncachedFileAccess,1789048539166000000,1789048599207000000,128
StorageLockContext.competingThreads.avg,1789048539166000000,1789048599207000000,0.0
FilePageCacheLockFree.totalBytesRequested,1789048539166000000,1789048599207000000,0
FilePageCache.maxCacheSizeInBytes,1789048539166000000,1789048599207000000,242237440
StreamlinedBlobStorage.recordsAllocated,1789048539166000000,1789048599207000000,2665
FilePageCache.pageLoadsAboveSizeThreshold,1789048539166000000,1789048599207000000,0
FilePageCache.disposedBuffers,1789048539166000000,1789048599207000000,3
FilePageCacheLockFree.totalHeapBytesAllocated,1789048539166000000,1789048599207000000,0
StorageLockContext.competingThreads.max,1789048539166000000,1789048599207000000,0
FilePageCache.maxRegisteredFiles,1789048539166000000,1789048599207000000,555
MappedFileStorage.totalTimeSpentOnMappingUs,1789048539166000000,1789048599207000000,38866
