# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.totalMisses,1788220720085000000,1788220780095000000,0
VFS.invertedFileNameIndex.requests,1788220720085000000,1788220780095000000,0
FileNameCache.queries,1788220720085000000,1788220780095000000,0
VFS.fileByIdCache.misses,1788220720085000000,1788220780095000000,22
VFS.fileChildByName,1788220720085000000,1788220780095000000,886
VFS.fileByIdCache.hits,1788220720085000000,1788220780095000000,0
FlushQueue.queueSize90P,1788220720085000000,1788220780095000000,67
FlushQueue.executionTimeAvgNs,1788220720085000000,1788220780095000000,1641752.5970149254
FlushQueue.tasksExecuted,1788220720085000000,1788220780095000000,1608
NonBlockingReadAction.finalizedExecutionTimeUs,1788220720085000000,1788220780095000000,530139
AWTEventQueue.dispatchTimeAvgNs,1788220720085000000,1788220780095000000,1610644.1311475409
FlushQueue.waitingTimeAvgNs,1788220720085000000,1788220780095000000,1.0936136370646766E8
NonBlockingReadAction.failedExecutionsCount,1788220720085000000,1788220780095000000,0
AWTEventQueue.eventsDispatched,1788220720085000000,1788220780095000000,3904
FlushQueue.queueSizeAvg,1788220720085000000,1788220780095000000,20.67412935323383
FlushQueue.waitingTime90PNs,1788220720085000000,1788220780095000000,341835775
AWTEventQueue.dispatchTimeMaxNs,1788220720085000000,1788220780095000000,438304767
AWTEventQueue.dispatchTime90PNs,1788220720085000000,1788220780095000000,720895
FlushQueue.queueSizeMax,1788220720085000000,1788220780095000000,95
AWTEventQueue.dispatchTimeTotalNS,1788220720085000000,1788220780095000000,6288197846
FlushQueue.executionTimeMaxNs,1788220720085000000,1788220780095000000,436207615
NonBlockingReadAction.failedExecutionTimeUs,1788220720085000000,1788220780095000000,0
NonBlockingReadAction.finalizedExecutionsCount,1788220720085000000,1788220780095000000,21
WriteAction.executionsCount,1788220720085000000,1788220780095000000,7
FlushQueue.executionTime90PNs,1788220720085000000,1788220780095000000,733183
FlushQueue.waitingTimeMaxNs,1788220720085000000,1788220780095000000,1061158911
ReadAction.executionsCount,1788220720085000000,1788220780095000000,13148
FilePageCache.totalPageLoadsUs,1788220720085000000,1788220780095000000,283624
FilePageCache.pageLoads,1788220720085000000,1788220780095000000,210
FilePageCacheLockFree.totalPagesReadMs,1788220720085000000,1788220780095000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1788220720085000000,1788220780095000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1788220720085000000,1788220780095000000,0
StorageLockContext.competingThreads.90P,1788220720085000000,1788220780095000000,0
FilePageCache.maxCacheSizeInBytes,1788220720085000000,1788220780095000000,214974464
FilePageCacheLockFree.totalPagesReclaimed,1788220720085000000,1788220780095000000,0
FilePageCacheLockFree.totalBytesRead,1788220720085000000,1788220780095000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1788220720085000000,1788220780095000000,213058
FilePageCacheLockFree.totalHeapBytesAllocated,1788220720085000000,1788220780095000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1788220720085000000,1788220780095000000,214974464
FilePageCacheLockFree.housekeeperTurnsSkipped,1788220720085000000,1788220780095000000,0
DirectByteBufferAllocator.hits,1788220720085000000,1788220780095000000,3
FilePageCacheLockFree.totalPageAllocationsWaited,1788220720085000000,1788220780095000000,0
DirectByteBufferAllocator.misses,1788220720085000000,1788220780095000000,207
FilePageCacheLockFree.totalPagesRequested,1788220720085000000,1788220780095000000,0
MappedFileStorage.storages,1788220720085000000,1788220780095000000,11
FilePageCacheLockFree.totalHeapBytesReclaimed,1788220720085000000,1788220780095000000,0
