# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.queueSize90P,1788221266637000000,1788221326646000000,78
FlushQueue.queueSizeAvg,1788221266637000000,1788221326646000000,25.496680366740435
ReadAction.executionsCount,1788221266637000000,1788221326646000000,23649
AWTEventQueue.dispatchTimeTotalNS,1788221266637000000,1788221326646000000,11970938693
NonBlockingReadAction.finalizedExecutionsCount,1788221266637000000,1788221326646000000,123
AWTEventQueue.dispatchTimeAvgNs,1788221266637000000,1788221326646000000,1395107.0172494173
FlushQueue.queueSizeMax,1788221266637000000,1788221326646000000,200
FlushQueue.executionTime90PNs,1788221266637000000,1788221326646000000,3637247
FlushQueue.executionTimeAvgNs,1788221266637000000,1788221326646000000,1523594.118242175
AWTEventQueue.eventsDispatched,1788221266637000000,1788221326646000000,8580
AWTEventQueue.dispatchTimeMaxNs,1788221266637000000,1788221326646000000,446693375
NonBlockingReadAction.failedExecutionsCount,1788221266637000000,1788221326646000000,0
FlushQueue.waitingTime90PNs,1788221266637000000,1788221326646000000,700448767
FlushQueue.waitingTimeAvgNs,1788221266637000000,1788221326646000000,1.845204291963326E8
FlushQueue.waitingTimeMaxNs,1788221266637000000,1788221326646000000,1753219071
FlushQueue.tasksExecuted,1788221266637000000,1788221326646000000,3163
WriteAction.executionsCount,1788221266637000000,1788221326646000000,9
NonBlockingReadAction.finalizedExecutionTimeUs,1788221266637000000,1788221326646000000,684498
AWTEventQueue.dispatchTime90PNs,1788221266637000000,1788221326646000000,2605055
NonBlockingReadAction.failedExecutionTimeUs,1788221266637000000,1788221326646000000,0
FlushQueue.executionTimeMaxNs,1788221266637000000,1788221326646000000,446693375
workspaceModel.mutableEntityStorage.remove.entity.ms,1788221266637000000,1788221326646000000,0
workspaceModel.global.updates.count,1788221266637000000,1788221326646000000,0
jps.facet.change.listener.process.change.events.ms,1788221266637000000,1788221326646000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1788221266637000000,1788221326646000000,0
workspaceModel.sync.entities.ms,1788221266637000000,1788221326646000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1788221266637000000,1788221326646000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1788221266637000000,1788221326646000000,2
workspaceModel.moduleManagerBridge.get.modules.ms,1788221266637000000,1788221326646000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1788221266637000000,1788221326646000000,0
jps.save.global.entities.ms,1788221266637000000,1788221326646000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1788221266637000000,1788221326646000000,8
jps.reload.project.entities.ms,1788221266637000000,1788221326646000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1788221266637000000,1788221326646000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1788221266637000000,1788221326646000000,11
workspaceModel.moduleManagerBridge.load.module.ms,1788221266637000000,1788221326646000000,0
