# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1788308100037000000,1788308160071000000,0
workspaceModel.cachedValue.total.get.ms,1788308100037000000,1788308160071000000,11
workspaceModel.cachedValueWithParameters.calculated.ms,1788308100037000000,1788308160071000000,0
workspaceModel.replace.project.model.ms,1788308100037000000,1788308160071000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1788308100037000000,1788308160071000000,1
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1788308100037000000,1788308160071000000,0
workspaceModel.to.snapshot.ms,1788308100037000000,1788308160071000000,1
workspaceModel.loading.total.ms,1788308100037000000,1788308160071000000,248
workspaceModel.cachedValue.calculated.ms,1788308100037000000,1788308160071000000,11
workspaceModel.cachedValue.from.cache.ms,1788308100037000000,1788308160071000000,0
workspaceModel.workspaceFileIndexData.instances.count,1788308100037000000,1788308160071000000,1
workspaceModel.entityStorageSnapshotImpl.instances.count,1788308100037000000,1788308160071000000,14
workspaceModel.check.recursive.update.ms,1788308100037000000,1788308160071000000,0
workspaceModel.updates.count,1788308100037000000,1788308160071000000,2
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1788308100037000000,1788308160071000000,45
workspaceModel.init.bridges.ms,1788308100037000000,1788308160071000000,1
workspaceModel.cachedValue.clear.ms,1788308100037000000,1788308160071000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1788308100037000000,1788308160071000000,0
workspaceModel.update.unloaded.entities.ms,1788308100037000000,1788308160071000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1788308100037000000,1788308160071000000,114
workspaceModel.workspaceFileIndexData.markDirty.ms,1788308100037000000,1788308160071000000,0
workspaceModel.loading.from.cache.ms,1788308100037000000,1788308160071000000,233
workspaceModel.updates.ms,1788308100037000000,1788308160071000000,72
workspaceModel.updates.precise.ms,1788308100037000000,1788308160071000000,11
workspaceModel.cachedValueWithParameters.clear.ms,1788308100037000000,1788308160071000000,0
workspaceModel.collect.changes.ms,1788308100037000000,1788308160071000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1788308100037000000,1788308160071000000,0
workspaceModel.initializing.ms,1788308100037000000,1788308160071000000,1
workspaceModel.cachedValueWithParameters.from.cache.ms,1788308100037000000,1788308160071000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1788308100037000000,1788308160071000000,0
workspaceModel.cachedValueWithParameters.total.get.ms,1788308100037000000,1788308160071000000,0
workspaceModel.pre.handlers.ms,1788308100037000000,1788308160071000000,1
workspaceModel.workspaceFileIndexData.init.ms,1788308100037000000,1788308160071000000,61
workspaceModel.full.replace.project.model.ms,1788308100037000000,1788308160071000000,4
IndexesFlusher.totalContentionQuotaSpent,1788308100037000000,1788308160071000000,24
Indexes.allKeys.lookupDurationAvgMs,1788308100037000000,1788308160071000000,0.0
Indexes.entries.lookupDuration90PMs,1788308100037000000,1788308160071000000,0.0
IndexesFlusher.totalFlushes,1788308100037000000,1788308160071000000,59
Indexes.stubs.lookupDuration90PMs,1788308100037000000,1788308160071000000,0.0
Indexes.entries.lookupDurationMaxMs,1788308100037000000,1788308160071000000,0.0
Indexes.stubs.lookupDurationAvgMs,1788308100037000000,1788308160071000000,0.0
Indexes.entries.lookups,1788308100037000000,1788308160071000000,0.0
Indexes.allKeys.lookups,1788308100037000000,1788308160071000000,0.0
Indexes.stubs.lookups,1788308100037000000,1788308160071000000,0.0
Indexes.entries.lookupDurationAvgMs,1788308100037000000,1788308160071000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1788308100037000000,1788308160071000000,0.0
Indexes.stubs.lookupDurationMaxMs,1788308100037000000,1788308160071000000,0.0
Indexes.allKeys.lookupDuration90PMs,1788308100037000000,1788308160071000000,0.0
IndexesFlusher.totalFlushesRetried,1788308100037000000,1788308160071000000,1
IndexesFlusher.totalFlushingTimeUs,1788308100037000000,1788308160071000000,360717
workspaceModel.moduleManagerBridge.build.module.graph.ms,1788308100037000000,1788308160071000000,2
workspaceModel.mutableEntityStorage.to.snapshot.ms,1788308100037000000,1788308160071000000,3
workspaceModel.mutableEntityStorage.referrers.ms,1788308100037000000,1788308160071000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1788308100037000000,1788308160071000000,12
workspaceModel.mutableEntityStorage.entities.ms,1788308100037000000,1788308160071000000,0
jps.facet.change.listener.process.change.events.ms,1788308100037000000,1788308160071000000,1
workspaceModel.moduleBridge.before.changed.ms,1788308100037000000,1788308160071000000,0
workspaceModel.do.save.caches.ms,1788308100037000000,1788308160071000000,39
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1788308100037000000,1788308160071000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1788308100037000000,1788308160071000000,459
workspaceModel.orphan.listener.update.ms,1788308100037000000,1788308160071000000,2
jps.global.get.library.by.name.ms,1788308100037000000,1788308160071000000,0
jps.facet.change.listener.init.bridge.ms,1788308100037000000,1788308160071000000,0
jps.module.iml.entities.serializer.load.entities.ms,1788308100037000000,1788308160071000000,14
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1788308100037000000,1788308160071000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1788308100037000000,1788308160071000000,1
jps.load.project.to.empty.storage.ms,1788308100037000000,1788308160071000000,56
workspaceModel.moduleManagerBridge.get.modules.ms,1788308100037000000,1788308160071000000,1
jps.global.handle.changed.events.ms,1788308100037000000,1788308160071000000,0
jps.library.entities.serializer.save.entities.ms,1788308100037000000,1788308160071000000,0
workspaceModel.moduleBridge.update.option.ms,1788308100037000000,1788308160071000000,0
jps.global.get.libraries.ms,1788308100037000000,1788308160071000000,1
jps.load.initial.state.ms,1788308100037000000,1788308160071000000,28
workspaceModel.mutableEntityStorage.instances.count,1788308100037000000,1788308160071000000,21
jps.save.global.entities.ms,1788308100037000000,1788308160071000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1788308100037000000,1788308160071000000,0
jps.library.entities.serializer.load.entities.ms,1788308100037000000,1788308160071000000,1
jps.reload.project.entities.ms,1788308100037000000,1788308160071000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1788308100037000000,1788308160071000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1788308100037000000,1788308160071000000,6
jps.project.serializers.save.ms,1788308100037000000,1788308160071000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1788308100037000000,1788308160071000000,3
workspaceModel.global.updates.ms,1788308100037000000,1788308160071000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1788308100037000000,1788308160071000000,73
jps.app.storage.content.reader.load.component.ms,1788308100037000000,1788308160071000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1788308100037000000,1788308160071000000,0
workspaceModel.sync.entities.ms,1788308100037000000,1788308160071000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1788308100037000000,1788308160071000000,10
workspaceModel.moduleBridge.facet.initialization.ms,1788308100037000000,1788308160071000000,1
jps.apply.loaded.storage.ms,1788308100037000000,1788308160071000000,16
jps.facet.change.listener.before.change.events.ms,1788308100037000000,1788308160071000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1788308100037000000,1788308160071000000,1
workspaceModel.mutableEntityStorage.modify.entity.ms,1788308100037000000,1788308160071000000,1
jps.global.initialize.library.bridges.ms,1788308100037000000,1788308160071000000,0
jps.save.changed.project.entities.ms,1788308100037000000,1788308160071000000,0
jps.global.initialize.library.bridges.after.loading.ms,1788308100037000000,1788308160071000000,1
workspaceModel.load.cache.from.file.ms,1788308100037000000,1788308160071000000,224
workspaceModel.mutableEntityStorage.entities.by.source.ms,1788308100037000000,1788308160071000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1788308100037000000,1788308160071000000,0
jps.global.handle.before.change.events.ms,1788308100037000000,1788308160071000000,0
workspaceModel.save.cache.to.file.ms,1788308100037000000,1788308160071000000,31
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1788308100037000000,1788308160071000000,2
jps.project.serializers.load.ms,1788308100037000000,1788308160071000000,27
jps.module.iml.entities.serializer.save.entities.ms,1788308100037000000,1788308160071000000,0
workspaceModel.global.apply.state.to.project.ms,1788308100037000000,1788308160071000000,66
workspaceModel.moduleManagerBridge.create.module.instance.ms,1788308100037000000,1788308160071000000,0
workspaceModel.load.cache.metadata.from.file.ms,1788308100037000000,1788308160071000000,22
jps.storage.jps.conf.reader.load.component.ms,1788308100037000000,1788308160071000000,5
jps.global.get.library.ms,1788308100037000000,1788308160071000000,0
jps.artifact.entities.serializer.load.entities.ms,1788308100037000000,1788308160071000000,0
workspaceModel.global.updates.count,1788308100037000000,1788308160071000000,0
jps.artifact.entities.serializer.save.entities.ms,1788308100037000000,1788308160071000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1788308100037000000,1788308160071000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1788308100037000000,1788308160071000000,145
workspaceModel.mutableEntityStorage.resolve.ms,1788308100037000000,1788308160071000000,0
AWTEventQueue.dispatchTimeMaxNs,1788308100037000000,1788308160071000000,561151
FlushQueue.queueSizeAvg,1788308100037000000,1788308160071000000,0.0
FlushQueue.tasksExecuted,1788308100037000000,1788308160071000000,0
FlushQueue.executionTimeMaxNs,1788308100037000000,1788308160071000000,0
AWTEventQueue.dispatchTimeAvgNs,1788308100037000000,1788308160071000000,252748.8
AWTEventQueue.dispatchTimeTotalNS,1788308100037000000,1788308160071000000,4745099990
AWTEventQueue.eventsDispatched,1788308100037000000,1788308160071000000,10
AWTEventQueue.dispatchTime90PNs,1788308100037000000,1788308160071000000,493567
FlushQueue.executionTime90PNs,1788308100037000000,1788308160071000000,0
NonBlockingReadAction.finalizedExecutionsCount,1788308100037000000,1788308160071000000,17
FlushQueue.waitingTime90PNs,1788308100037000000,1788308160071000000,0
FlushQueue.waitingTimeMaxNs,1788308100037000000,1788308160071000000,0
NonBlockingReadAction.failedExecutionTimeUs,1788308100037000000,1788308160071000000,0
FlushQueue.queueSizeMax,1788308100037000000,1788308160071000000,0
WriteAction.executionsCount,1788308100037000000,1788308160071000000,7
FlushQueue.executionTimeAvgNs,1788308100037000000,1788308160071000000,0.0
NonBlockingReadAction.failedExecutionsCount,1788308100037000000,1788308160071000000,0
FlushQueue.waitingTimeAvgNs,1788308100037000000,1788308160071000000,0.0
NonBlockingReadAction.finalizedExecutionTimeUs,1788308100037000000,1788308160071000000,265703
ReadAction.executionsCount,1788308100037000000,1788308160071000000,10598
FlushQueue.queueSize90P,1788308100037000000,1788308160071000000,0
cacheStateStorage.set.duration,1788308100037000000,1788308160071000000,10
cacheStateStorage.get.duration,1788308100037000000,1788308160071000000,239
cacheStateStorage.get.counter,1788308100037000000,1788308160071000000,23
cacheStateStorage.set.counter,1788308100037000000,1788308160071000000,3
FilePageCache.maxCacheSizeInBytes,1788308100037000000,1788308160071000000,231751680
DirectByteBufferAllocator.reclaimed,1788308100037000000,1788308160071000000,3
FilePageCache.totalPageDisposalsUs,1788308100037000000,1788308160071000000,3363
FilePageCacheLockFree.totalClosedStoragesReclaimed,1788308100037000000,1788308160071000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1788308100037000000,1788308160071000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1788308100037000000,1788308160071000000,0
FilePageCache.capacityInBytes,1788308100037000000,1788308160071000000,503316478
FilePageCacheLockFree.totalPagesAllocated,1788308100037000000,1788308160071000000,0
StreamlinedBlobStorage.recordsRelocated,1788308100037000000,1788308160071000000,0
StreamlinedBlobStorage.recordsAllocated,1788308100037000000,1788308160071000000,2665
MappedFileStorage.totalBytesMapped,1788308100037000000,1788308160071000000,198443008
