# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.GC.collectionTimesMs,1788181977261000000,1788182037304000000,145
JVM.maxThreadCount,1788181977261000000,1788182037304000000,140
JVM.usedHeapBytes,1788181977261000000,1788182037304000000,177214000
JVM.usedNativeBytes,1788181977261000000,1788182037304000000,291340104
JVM.threadCount,1788181977261000000,1788182037304000000,137
JVM.newThreadsCount,1788181977261000000,1788182037304000000,169
OS.loadAverage,1788181977261000000,1788182037304000000,3.03662109375
JVM.totalDirectByteBuffersBytes,1788181977261000000,1788182037304000000,214944645
JVM.totalCpuTimeMs,1788181977261000000,1788182037304000000,56857
JVM.totalBytesAllocated,1788181977261000000,1788182037304000000,1250315576
JVM.GC.collections,1788181977261000000,1788182037304000000,21
JVM.maxHeapBytes,1788181977261000000,1788182037304000000,2147483648
workspaceModel.updates.ms,1788181977261000000,1788182037304000000,58
workspaceModel.workspaceFileIndexData.getPackageName.ms,1788181977261000000,1788182037304000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1788181977261000000,1788182037304000000,0
workspaceModel.pre.handlers.ms,1788181977261000000,1788182037304000000,0
workspaceModel.init.bridges.ms,1788181977261000000,1788182037304000000,2
workspaceModel.updates.count,1788181977261000000,1788182037304000000,2
workspaceModel.cachedValueWithParameters.from.cache.ms,1788181977261000000,1788182037304000000,0
workspaceModel.workspaceFileIndexData.instances.count,1788181977261000000,1788182037304000000,1
workspaceModel.full.replace.project.model.ms,1788181977261000000,1788182037304000000,4
workspaceModel.cachedValueWithParameters.clear.ms,1788181977261000000,1788182037304000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1788181977261000000,1788182037304000000,0
workspaceModel.check.recursive.update.ms,1788181977261000000,1788182037304000000,0
workspaceModel.cachedValueWithParameters.calculated.ms,1788181977261000000,1788182037304000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1788181977261000000,1788182037304000000,0
workspaceModel.workspaceFileIndexData.init.ms,1788181977261000000,1788182037304000000,36
workspaceModel.entityStorageSnapshotImpl.instances.count,1788181977261000000,1788182037304000000,14
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1788181977261000000,1788182037304000000,45
workspaceModel.cachedValue.clear.ms,1788181977261000000,1788182037304000000,0
workspaceModel.loading.from.cache.ms,1788181977261000000,1788182037304000000,248
workspaceModel.cachedValueWithParameters.total.get.ms,1788181977261000000,1788182037304000000,0
workspaceModel.updates.precise.ms,1788181977261000000,1788182037304000000,12
workspaceModel.cachedValue.total.get.ms,1788181977261000000,1788182037304000000,9
workspaceModel.to.snapshot.ms,1788181977261000000,1788182037304000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1788181977261000000,1788182037304000000,1
workspaceModel.initializing.ms,1788181977261000000,1788182037304000000,2
workspaceModel.cachedValue.calculated.ms,1788181977261000000,1788182037304000000,9
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1788181977261000000,1788182037304000000,66
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1788181977261000000,1788182037304000000,0
workspaceModel.replace.project.model.ms,1788181977261000000,1788182037304000000,0
workspaceModel.collect.changes.ms,1788181977261000000,1788182037304000000,0
workspaceModel.cachedValue.from.cache.ms,1788181977261000000,1788182037304000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1788181977261000000,1788182037304000000,0
workspaceModel.update.unloaded.entities.ms,1788181977261000000,1788182037304000000,0
workspaceModel.loading.total.ms,1788181977261000000,1788182037304000000,261
FlushQueue.queueSize90P,1788181977261000000,1788182037304000000,3
NonBlockingReadAction.failedExecutionTimeUs,1788181977261000000,1788182037304000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1788181977261000000,1788182037304000000,691255
FlushQueue.waitingTime90PNs,1788181977261000000,1788182037304000000,317439
FlushQueue.waitingTimeAvgNs,1788181977261000000,1788182037304000000,194918.4
ReadAction.executionsCount,1788181977261000000,1788182037304000000,33590
NonBlockingReadAction.failedExecutionsCount,1788181977261000000,1788182037304000000,0
AWTEventQueue.eventsDispatched,1788181977261000000,1788182037304000000,3
FlushQueue.tasksExecuted,1788181977261000000,1788182037304000000,5
AWTEventQueue.dispatchTimeTotalNS,1788181977261000000,1788182037304000000,7965702177
WriteAction.executionsCount,1788181977261000000,1788182037304000000,7
FlushQueue.executionTimeAvgNs,1788181977261000000,1788182037304000000,116019.2
FlushQueue.queueSizeAvg,1788181977261000000,1788182037304000000,1.2
FlushQueue.executionTimeMaxNs,1788181977261000000,1788182037304000000,339967
FlushQueue.executionTime90PNs,1788181977261000000,1788182037304000000,339967
AWTEventQueue.dispatchTime90PNs,1788181977261000000,1788182037304000000,1277951
AWTEventQueue.dispatchTimeAvgNs,1788181977261000000,1788182037304000000,568426.6666666666
FlushQueue.queueSizeMax,1788181977261000000,1788182037304000000,3
AWTEventQueue.dispatchTimeMaxNs,1788181977261000000,1788182037304000000,1277951
NonBlockingReadAction.finalizedExecutionsCount,1788181977261000000,1788182037304000000,118
FlushQueue.waitingTimeMaxNs,1788181977261000000,1788182037304000000,317439
