# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.wait.ms,1788221746160000000,1788221806201000000,9
writeAction.count,1788221746160000000,1788221806201000000,13
writeAction.max.wait.ms,1788221746160000000,1788221806201000000,6
writeAction.median.wait.ms,1788221746160000000,1788221806201000000,0
FlushQueue.executionTimeMaxNs,1788221746160000000,1788221806201000000,0
FlushQueue.executionTimeAvgNs,1788221746160000000,1788221806201000000,0.0
FlushQueue.waitingTimeAvgNs,1788221746160000000,1788221806201000000,0.0
NonBlockingReadAction.finalizedExecutionsCount,1788221746160000000,1788221806201000000,21
AWTEventQueue.dispatchTimeTotalNS,1788221746160000000,1788221806201000000,7145281412
WriteAction.executionsCount,1788221746160000000,1788221806201000000,13
FlushQueue.queueSize90P,1788221746160000000,1788221806201000000,0
AWTEventQueue.dispatchTimeMaxNs,1788221746160000000,1788221806201000000,0
NonBlockingReadAction.failedExecutionsCount,1788221746160000000,1788221806201000000,0
FlushQueue.queueSizeAvg,1788221746160000000,1788221806201000000,0.0
AWTEventQueue.dispatchTime90PNs,1788221746160000000,1788221806201000000,0
AWTEventQueue.dispatchTimeAvgNs,1788221746160000000,1788221806201000000,0.0
FlushQueue.waitingTime90PNs,1788221746160000000,1788221806201000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1788221746160000000,1788221806201000000,463243
NonBlockingReadAction.failedExecutionTimeUs,1788221746160000000,1788221806201000000,0
FlushQueue.tasksExecuted,1788221746160000000,1788221806201000000,0
FlushQueue.queueSizeMax,1788221746160000000,1788221806201000000,0
ReadAction.executionsCount,1788221746160000000,1788221806201000000,10855
AWTEventQueue.eventsDispatched,1788221746160000000,1788221806201000000,0
FlushQueue.executionTime90PNs,1788221746160000000,1788221806201000000,0
FlushQueue.waitingTimeMaxNs,1788221746160000000,1788221806201000000,0
cacheStateStorage.set.counter,1788221746160000000,1788221806201000000,3
cacheStateStorage.set.duration,1788221746160000000,1788221806201000000,13
cacheStateStorage.get.counter,1788221746160000000,1788221806201000000,23
cacheStateStorage.get.duration,1788221746160000000,1788221806201000000,232
